[2019-05-11 21:07:43,353](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:07:43,354](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,354](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,356](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:07:43,356](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,357](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,358](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:07:43,359](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,359](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,361](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:07:43,361](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,362](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,363](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:07:43,364](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,364](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,366](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:07:43,366](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:07:43,367](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:07:43,369](INFO)werkzeug : 127.0.0.1 - - [11/May/2019 21:07:43] "GET /querySetMeal HTTP/1.1" 200 -
[2019-05-11 21:13:19,103](INFO)werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2019-05-11 21:13:23,241](INFO)querySetMeal : 获取参数pageNo...
[2019-05-11 21:13:23,242](INFO)querySetMeal : 未获得参数pageNo ， 赋值为1
[2019-05-11 21:13:23,251](INFO)querySetMeal : 未获得参数pageSize ， 赋值为10
[2019-05-11 21:13:23,253](INFO)querySetMeal : 尝试执行sql语句select * from setmeal limit 0 , 10
[2019-05-11 21:13:23,253](INFO)querySetMeal : 执行成功,尝试抓取数据
[2019-05-11 21:13:23,254](INFO)querySetMeal : 抓取成功
[2019-05-11 21:13:23,256](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:13:23,256](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,257](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,259](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:13:23,259](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,259](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,261](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:13:23,262](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,262](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,264](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:13:23,265](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,265](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,267](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 4
[2019-05-11 21:13:23,268](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,268](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,270](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 5
[2019-05-11 21:13:23,270](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,271](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,272](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:13:23,273](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,273](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,274](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:13:23,275](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,275](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,277](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:13:23,277](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,278](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,279](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:13:23,279](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,279](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,281](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:13:23,281](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,281](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,283](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:13:23,284](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:13:23,284](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:13:23,286](INFO)werkzeug : 127.0.0.1 - - [11/May/2019 21:13:23] "GET /querySetMeal HTTP/1.1" 200 -
[2019-05-11 21:15:43,271](INFO)werkzeug :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
[2019-05-11 21:15:43,918](INFO)querySetMeal : 获取参数pageNo...
[2019-05-11 21:15:43,919](INFO)querySetMeal : 未获得参数pageNo ， 赋值为1
[2019-05-11 21:15:43,919](INFO)querySetMeal : 未获得参数pageSize ， 赋值为10
[2019-05-11 21:15:43,921](INFO)querySetMeal : 尝试执行sql语句select * from setmeal limit 0 , 10
[2019-05-11 21:15:43,921](INFO)querySetMeal : 执行成功,尝试抓取数据
[2019-05-11 21:15:43,922](INFO)querySetMeal : 抓取成功
[2019-05-11 21:15:43,924](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:15:43,924](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,925](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,926](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:15:43,927](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,927](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,928](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:15:43,929](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,929](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,933](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:15:43,933](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,934](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,935](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 4
[2019-05-11 21:15:43,936](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,936](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,938](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 5
[2019-05-11 21:15:43,938](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,939](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,940](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 1
[2019-05-11 21:15:43,941](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,941](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,943](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:15:43,944](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,944](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,946](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
[2019-05-11 21:15:43,946](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,947](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,948](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 3
[2019-05-11 21:15:43,949](INFO)querySetMeal : 执行成功，尝试抓取数据
[2019-05-11 21:15:43,949](INFO)querySetMeal : 数据抓取成功，解析数据
[2019-05-11 21:15:43,951](INFO)querySetMeal : 尝试执行sql语句select * from fruitandbreakfast where id = 2
